quantity,discount,supplierID,productID,shipCountry,employeeName,orderDate,categoryName,sales_amount,categoryID,shipperName,productName,shipCity,customerID,orderID,supplierName,employeeID,unitPrice,customer_segment,_score,customerName
21,0.15,25,55,Switzerland,Steven Buchanan,1996-07-11 00:00:00.000,Meat/Poultry,342.71999999999997,6,United Package,Pâté chinois,Bern,CHOPS,10254,Ma Maison,5,19.20,Medium Value,342.71999999999997,Chop-suey Chinese
21,0,4,74,Switzerland,Steven Buchanan,1996-07-11 00:00:00.000,Produce,168.0,7,United Package,Longlife Tofu,Bern,CHOPS,10254,Tokyo Traders,5,8.00,Medium Value,168.0,Chop-suey Chinese
20,0,1,2,Switzerland,Anne Dodsworth,1996-07-12 00:00:00.000,Beverages,304.0,1,Federal Shipping,Chang,Genève,RICSU,10255,Exotic Liquids,9,15.20,High Value,304.0,Richter Supermarkt
35,0,7,16,Switzerland,Anne Dodsworth,1996-07-12 00:00:00.000,Confections,486.5,3,Federal Shipping,Pavlova,Genève,RICSU,10255,Pavlova Ltd.,9,13.90,High Value,486.5,Richter Supermarkt
25,0,17,36,Switzerland,Anne Dodsworth,1996-07-12 00:00:00.000,Seafood,380.0,8,Federal Shipping,Inlagd Sill,Genève,RICSU,10255,Svensk Sjöföda AB,9,15.20,High Value,380.0,Richter Supermarkt
30,0,28,59,Switzerland,Anne Dodsworth,1996-07-12 00:00:00.000,Dairy Products,1320.0,4,Federal Shipping,Raclette Courdavault,Genève,RICSU,10255,Gai pâturage,9,44.00,High Value,1320.0,Richter Supermarkt
15,0,24,53,Brazil,Janet Leverling,1996-07-15 00:00:00.000,Meat/Poultry,393.0,6,United Package,Perth Pasties,Resende,WELLI,10256,G'day Mate,3,26.20,Low Value,393.0,Wellington Importadora
12,0,12,77,Brazil,Janet Leverling,1996-07-15 00:00:00.000,Condiments,124.80000000000001,2,United Package,Original Frankfurter grüne Soße,Resende,WELLI,10256,Plutzer Lebensmittelgroßmärkte AG,3,10.40,Low Value,124.80000000000001,Wellington Importadora
25,0,11,27,Venezuela,Margaret Peacock,1996-07-16 00:00:00.000,Confections,877.5,3,Federal Shipping,Schoggi Schokolade,San Cristóbal,HILAA,10257,Heli Süßwaren GmbH & Co. KG,4,35.10,High Value,877.5,HILARION-Abastos
6,0,18,39,Venezuela,Margaret Peacock,1996-07-16 00:00:00.000,Beverages,86.4,1,Federal Shipping,Chartreuse verte,San Cristóbal,HILAA,10257,Aux joyeux ecclésiastiques,4,14.40,High Value,86.4,HILARION-Abastos
15,0,12,77,Venezuela,Margaret Peacock,1996-07-16 00:00:00.000,Condiments,156.0,2,Federal Shipping,Original Frankfurter grüne Soße,San Cristóbal,HILAA,10257,Plutzer Lebensmittelgroßmärkte AG,4,10.40,High Value,156.0,HILARION-Abastos
50,0.2,1,2,Austria,Nancy Davolio,1996-07-17 00:00:00.000,Beverages,608.0,1,Speedy Express,Chang,Graz,ERNSH,10258,Exotic Liquids,1,15.20,High Value,608.0,Ernst Handel
65,0.2,2,5,Austria,Nancy Davolio,1996-07-17 00:00:00.000,Condiments,884.0,2,Speedy Express,Chef Anton's Gumbo Mix,Graz,ERNSH,10258,New Orleans Cajun Delights,1,17.00,High Value,884.0,Ernst Handel
6,0.2,14,32,Austria,Nancy Davolio,1996-07-17 00:00:00.000,Dairy Products,122.88000000000002,4,Speedy Express,Mascarpone Fabioli,Graz,ERNSH,10258,Formaggi Fortini s.r.l.,1,25.60,High Value,122.88000000000002,Ernst Handel
10,0,8,21,Mexico,Margaret Peacock,1996-07-18 00:00:00.000,Confections,80.0,3,Federal Shipping,Sir Rodney's Scones,México D.F.,CENTC,10259,Specialty Biscuits Ltd.,4,8.00,Low Value,80.0,Centro comercial Moctezuma
1,0,17,37,Mexico,Margaret Peacock,1996-07-18 00:00:00.000,Seafood,20.8,8,Federal Shipping,Gravad lax,México D.F.,CENTC,10259,Svensk Sjöföda AB,4,20.80,Low Value,20.8,Centro comercial Moctezuma
16,0.25,19,41,Germany,Margaret Peacock,1996-07-19 00:00:00.000,Seafood,92.4,8,Speedy Express,Jack's New England Clam Chowder,Köln,OTTIK,10260,New England Seafood Cannery,4,7.70,Medium Value,92.4,Ottilies Käseladen
50,0,26,57,Germany,Margaret Peacock,1996-07-19 00:00:00.000,Grains/Cereals,780.0,5,Speedy Express,Ravioli Angelo,Köln,OTTIK,10260,Pasta Buttini s.r.l.,4,15.60,Medium Value,780.0,Ottilies Käseladen
15,0.25,29,62,Germany,Margaret Peacock,1996-07-19 00:00:00.000,Confections,443.25,3,Speedy Express,Tarte au sucre,Köln,OTTIK,10260,Forêts d'érables,4,39.40,Medium Value,443.25,Ottilies Käseladen
21,0.25,7,70,Germany,Margaret Peacock,1996-07-19 00:00:00.000,Beverages,189.0,1,Speedy Express,Outback Lager,Köln,OTTIK,10260,Pavlova Ltd.,4,12.00,Medium Value,189.0,Ottilies Käseladen
20,0,8,21,Brazil,Margaret Peacock,1996-07-19 00:00:00.000,Confections,160.0,3,United Package,Sir Rodney's Scones,Rio de Janeiro,QUEDE,10261,Specialty Biscuits Ltd.,4,8.00,Low Value,160.0,Que Delícia
20,0,16,35,Brazil,Margaret Peacock,1996-07-19 00:00:00.000,Beverages,288.0,1,United Package,Steeleye Stout,Rio de Janeiro,QUEDE,10261,Bigfoot Breweries,4,14.40,Low Value,288.0,Que Delícia
12,0.2,2,5,USA,Laura Callahan,1996-07-22 00:00:00.000,Condiments,163.20000000000002,2,Federal Shipping,Chef Anton's Gumbo Mix,Albuquerque,RATTC,10262,New Orleans Cajun Delights,8,17.00,High Value,163.20000000000002,Rattlesnake Canyon Grocery
15,0,3,7,USA,Laura Callahan,1996-07-22 00:00:00.000,Produce,360.0,7,Federal Shipping,Uncle Bob's Organic Dried Pears,Albuquerque,RATTC,10262,Grandma Kelly's Homestead,8,24.00,High Value,360.0,Rattlesnake Canyon Grocery
2,0,26,56,USA,Laura Callahan,1996-07-22 00:00:00.000,Grains/Cereals,60.8,5,Federal Shipping,Gnocchi di nonna Alice,Albuquerque,RATTC,10262,Pasta Buttini s.r.l.,8,30.40,High Value,60.8,Rattlesnake Canyon Grocery
60,0.25,7,16,Austria,Anne Dodsworth,1996-07-23 00:00:00.000,Confections,625.5,3,Federal Shipping,Pavlova,Graz,ERNSH,10263,Pavlova Ltd.,9,13.90,High Value,625.5,Ernst Handel
28,0,10,24,Austria,Anne Dodsworth,1996-07-23 00:00:00.000,Beverages,100.8,1,Federal Shipping,Guaraná Fantástica,Graz,ERNSH,10263,Refrescos Americanas LTDA,9,3.60,High Value,100.8,Ernst Handel
60,0.25,13,30,Austria,Anne Dodsworth,1996-07-23 00:00:00.000,Seafood,931.5,8,Federal Shipping,Nord-Ost Matjeshering,Graz,ERNSH,10263,Nord-Ost-Fisch Handelsgesellschaft mbH,9,20.70,High Value,931.5,Ernst Handel
36,0.25,4,74,Austria,Anne Dodsworth,1996-07-23 00:00:00.000,Produce,216.0,7,Federal Shipping,Longlife Tofu,Graz,ERNSH,10263,Tokyo Traders,9,8.00,High Value,216.0,Ernst Handel
35,0,1,2,Sweden,Michael Suyama,1996-07-24 00:00:00.000,Beverages,532.0,1,Federal Shipping,Chang,Bräcke,FOLKO,10264,Exotic Liquids,6,15.20,High Value,532.0,Folk och fä HB
25,0.15,19,41,Sweden,Michael Suyama,1996-07-24 00:00:00.000,Seafood,163.625,8,Federal Shipping,Jack's New England Clam Chowder,Bräcke,FOLKO,10264,New England Seafood Cannery,6,7.70,High Value,163.625,Folk och fä HB
30,0,7,17,France,Andrew Fuller,1996-07-25 00:00:00.000,Meat/Poultry,936.0,6,Speedy Express,Alice Mutton,Strasbourg,BLONP,10265,Pavlova Ltd.,2,31.20,High Value,936.0,Blondesddsl père et fils
20,0,7,70,France,Andrew Fuller,1996-07-25 00:00:00.000,Beverages,240.0,1,Speedy Express,Outback Lager,Strasbourg,BLONP,10265,Pavlova Ltd.,2,12.00,High Value,240.0,Blondesddsl père et fils
12,0.05,5,12,Finland,Janet Leverling,1996-07-26 00:00:00.000,Dairy Products,346.55999999999995,4,Federal Shipping,Queso Manchego La Pastora,Oulu,WARTH,10266,Cooperativa de Quesos 'Las Cabras',3,30.40,Medium Value,346.55999999999995,Wartian Herkku
50,0,19,40,Germany,Margaret Peacock,1996-07-29 00:00:00.000,Seafood,735.0,8,Speedy Express,Boston Crab Meat,München,FRANK,10267,New England Seafood Cannery,4,14.70,High Value,735.0,Frankenversand
70,0.15,28,59,Germany,Margaret Peacock,1996-07-29 00:00:00.000,Dairy Products,2618.0,4,Speedy Express,Raclette Courdavault,München,FRANK,10267,Gai pâturage,4,44.00,High Value,2618.0,Frankenversand
15,0.15,23,76,Germany,Margaret Peacock,1996-07-29 00:00:00.000,Beverages,183.6,1,Speedy Express,Lakkalikööri,München,FRANK,10267,Karkki Oy,4,14.40,High Value,183.6,Frankenversand
10,0,12,29,Venezuela,Laura Callahan,1996-07-30 00:00:00.000,Meat/Poultry,990.0,6,Federal Shipping,Thüringer Rostbratwurst,Caracas,GROSR,10268,Plutzer Lebensmittelgroßmärkte AG,8,99.00,Low Value,990.0,GROSELLA-Restaurante
4,0,14,72,Venezuela,Laura Callahan,1996-07-30 00:00:00.000,Dairy Products,111.2,4,Federal Shipping,Mozzarella di Giovanni,Caracas,GROSR,10268,Formaggi Fortini s.r.l.,8,27.80,Low Value,111.2,GROSELLA-Restaurante
60,0.05,15,33,USA,Steven Buchanan,1996-07-31 00:00:00.000,Dairy Products,114.0,4,Speedy Express,Geitost,Seattle,WHITC,10269,Norske Meierier,5,2.00,High Value,114.0,White Clover Markets
20,0.05,14,72,USA,Steven Buchanan,1996-07-31 00:00:00.000,Dairy Products,528.1999999999999,4,Speedy Express,Mozzarella di Giovanni,Seattle,WHITC,10269,Formaggi Fortini s.r.l.,5,27.80,High Value,528.1999999999999,White Clover Markets
30,0,17,36,Finland,Nancy Davolio,1996-08-01 00:00:00.000,Seafood,456.0,8,Speedy Express,Inlagd Sill,Oulu,WARTH,10270,Svensk Sjöföda AB,1,15.20,Medium Value,456.0,Wartian Herkku
25,0,20,43,Finland,Nancy Davolio,1996-08-01 00:00:00.000,Beverages,919.9999999999999,1,Speedy Express,Ipoh Coffee,Oulu,WARTH,10270,Leka Trading,1,36.80,Medium Value,919.9999999999999,Wartian Herkku
24,0,15,33,USA,Michael Suyama,1996-08-01 00:00:00.000,Dairy Products,48.0,4,United Package,Geitost,Lander,SPLIR,10271,Norske Meierier,6,2.00,Medium Value,48.0,Split Rail Beer & Ale
6,0,8,20,USA,Michael Suyama,1996-08-02 00:00:00.000,Confections,388.79999999999995,3,United Package,Sir Rodney's Marmalade,Albuquerque,RATTC,10272,Specialty Biscuits Ltd.,6,64.80,High Value,388.79999999999995,Rattlesnake Canyon Grocery
40,0,14,31,USA,Michael Suyama,1996-08-02 00:00:00.000,Dairy Products,400.0,4,United Package,Gorgonzola Telino,Albuquerque,RATTC,10272,Formaggi Fortini s.r.l.,6,10.00,High Value,400.0,Rattlesnake Canyon Grocery
24,0,14,72,USA,Michael Suyama,1996-08-02 00:00:00.000,Dairy Products,667.2,4,United Package,Mozzarella di Giovanni,Albuquerque,RATTC,10272,Formaggi Fortini s.r.l.,6,27.80,High Value,667.2,Rattlesnake Canyon Grocery
24,0.05,4,10,Germany,Janet Leverling,1996-08-05 00:00:00.000,Seafood,565.44,8,Federal Shipping,Ikura,Cunewalde,QUICK,10273,Tokyo Traders,3,24.80,High Value,565.44,QUICK-Stop
15,0.05,14,31,Germany,Janet Leverling,1996-08-05 00:00:00.000,Dairy Products,142.5,4,Federal Shipping,Gorgonzola Telino,Cunewalde,QUICK,10273,Formaggi Fortini s.r.l.,3,10.00,High Value,142.5,QUICK-Stop
20,0,15,33,Germany,Janet Leverling,1996-08-05 00:00:00.000,Dairy Products,40.0,4,Federal Shipping,Geitost,Cunewalde,QUICK,10273,Norske Meierier,3,2.00,High Value,40.0,QUICK-Stop
60,0.05,19,40,Germany,Janet Leverling,1996-08-05 00:00:00.000,Seafood,837.9,8,Federal Shipping,Boston Crab Meat,Cunewalde,QUICK,10273,New England Seafood Cannery,3,14.70,High Value,837.9,QUICK-Stop
33,0.05,23,76,Germany,Janet Leverling,1996-08-05 00:00:00.000,Beverages,451.43999999999994,1,Federal Shipping,Lakkalikööri,Cunewalde,QUICK,10273,Karkki Oy,3,14.40,High Value,451.43999999999994,QUICK-Stop
20,0,15,71,France,Michael Suyama,1996-08-06 00:00:00.000,Dairy Products,344.0,4,Speedy Express,Flotemysost,Reims,VINET,10274,Norske Meierier,6,17.20,Low Value,344.0,Vins et alcools Chevalier
7,0,14,72,France,Michael Suyama,1996-08-06 00:00:00.000,Dairy Products,194.6,4,Speedy Express,Mozzarella di Giovanni,Reims,VINET,10274,Formaggi Fortini s.r.l.,6,27.80,Low Value,194.6,Vins et alcools Chevalier
12,0.05,10,24,Italy,Nancy Davolio,1996-08-07 00:00:00.000,Beverages,41.04,1,Speedy Express,Guaraná Fantástica,Bergamo,MAGAA,10275,Refrescos Americanas LTDA,1,3.60,Medium Value,41.04,Magazzini Alimentari Riuniti
6,0.05,28,59,Italy,Nancy Davolio,1996-08-07 00:00:00.000,Dairy Products,250.79999999999998,4,Speedy Express,Raclette Courdavault,Bergamo,MAGAA,10275,Gai pâturage,1,44.00,Medium Value,250.79999999999998,Magazzini Alimentari Riuniti
15,0,4,10,Mexico,Laura Callahan,1996-08-08 00:00:00.000,Seafood,372.0,8,Federal Shipping,Ikura,México D.F.,TORTU,10276,Tokyo Traders,8,24.80,Medium Value,372.0,Tortuga Restaurante
10,0,6,13,Mexico,Laura Callahan,1996-08-08 00:00:00.000,Seafood,48.0,8,Federal Shipping,Konbu,México D.F.,TORTU,10276,Mayumi's,8,4.80,Medium Value,48.0,Tortuga Restaurante
20,0,12,28,Germany,Andrew Fuller,1996-08-09 00:00:00.000,Produce,728.0,7,Federal Shipping,Rössle Sauerkraut,Leipzig,MORGK,10277,Plutzer Lebensmittelgroßmärkte AG,2,36.40,Low Value,728.0,Morgenstern Gesundkost
12,0,29,62,Germany,Andrew Fuller,1996-08-09 00:00:00.000,Confections,472.79999999999995,3,Federal Shipping,Tarte au sucre,Leipzig,MORGK,10277,Forêts d'érables,2,39.40,Low Value,472.79999999999995,Morgenstern Gesundkost
16,0,20,44,Sweden,Laura Callahan,1996-08-12 00:00:00.000,Condiments,248.0,2,United Package,Gula Malacca,Luleå,BERGS,10278,Leka Trading,8,15.50,High Value,248.0,Berglunds snabbköp
15,0,28,59,Sweden,Laura Callahan,1996-08-12 00:00:00.000,Dairy Products,660.0,4,United Package,Raclette Courdavault,Luleå,BERGS,10278,Gai pâturage,8,44.00,High Value,660.0,Berglunds snabbköp
8,0,7,63,Sweden,Laura Callahan,1996-08-12 00:00:00.000,Condiments,280.8,2,United Package,Vegie-spread,Luleå,BERGS,10278,Pavlova Ltd.,8,35.10,High Value,280.8,Berglunds snabbköp
25,0,17,73,Sweden,Laura Callahan,1996-08-12 00:00:00.000,Seafood,300.0,8,United Package,Röd Kaviar,Luleå,BERGS,10278,Svensk Sjöföda AB,8,12.00,High Value,300.0,Berglunds snabbköp
15,0.25,7,17,Germany,Laura Callahan,1996-08-13 00:00:00.000,Meat/Poultry,351.0,6,United Package,Alice Mutton,Frankfurt a.M.,LEHMS,10279,Pavlova Ltd.,8,31.20,High Value,351.0,Lehmanns Marktstand
12,0,10,24,Sweden,Andrew Fuller,1996-08-14 00:00:00.000,Beverages,43.2,1,Speedy Express,Guaraná Fantástica,Luleå,BERGS,10280,Refrescos Americanas LTDA,2,3.60,High Value,43.2,Berglunds snabbköp
20,0,25,55,Sweden,Andrew Fuller,1996-08-14 00:00:00.000,Meat/Poultry,384.0,6,Speedy Express,Pâté chinois,Luleå,BERGS,10280,Ma Maison,2,19.20,High Value,384.0,Berglunds snabbköp
30,0,12,75,Sweden,Andrew Fuller,1996-08-14 00:00:00.000,Beverages,186.0,1,Speedy Express,Rhönbräu Klosterbier,Luleå,BERGS,10280,Plutzer Lebensmittelgroßmärkte AG,2,6.20,High Value,186.0,Berglunds snabbköp
1,0,8,19,Spain,Margaret Peacock,1996-08-14 00:00:00.000,Confections,7.3,3,Speedy Express,Teatime Chocolate Biscuits,Madrid,ROMEY,10281,Specialty Biscuits Ltd.,4,7.30,Low Value,7.3,Romero y tomillo
6,0,10,24,Spain,Margaret Peacock,1996-08-14 00:00:00.000,Beverages,21.6,1,Speedy Express,Guaraná Fantástica,Madrid,ROMEY,10281,Refrescos Americanas LTDA,4,3.60,Low Value,21.6,Romero y tomillo
4,0,16,35,Spain,Margaret Peacock,1996-08-14 00:00:00.000,Beverages,57.6,1,Speedy Express,Steeleye Stout,Madrid,ROMEY,10281,Bigfoot Breweries,4,14.40,Low Value,57.6,Romero y tomillo
6,0,13,30,Spain,Margaret Peacock,1996-08-15 00:00:00.000,Seafood,124.19999999999999,8,Speedy Express,Nord-Ost Matjeshering,Madrid,ROMEY,10282,Nord-Ost-Fisch Handelsgesellschaft mbH,4,20.70,Low Value,124.19999999999999,Romero y tomillo
2,0,26,57,Spain,Margaret Peacock,1996-08-15 00:00:00.000,Grains/Cereals,31.2,5,Speedy Express,Ravioli Angelo,Madrid,ROMEY,10282,Pasta Buttini s.r.l.,4,15.60,Low Value,31.2,Romero y tomillo
20,0,6,15,Venezuela,Janet Leverling,1996-08-16 00:00:00.000,Condiments,248.0,2,Federal Shipping,Genen Shouyu,Barquisimeto,LILAS,10283,Mayumi's,3,12.40,Medium Value,248.0,LILA-Supermercado
18,0,8,19,Venezuela,Janet Leverling,1996-08-16 00:00:00.000,Confections,131.4,3,Federal Shipping,Teatime Chocolate Biscuits,Barquisimeto,LILAS,10283,Specialty Biscuits Ltd.,3,7.30,Medium Value,131.4,LILA-Supermercado
35,0,28,60,Venezuela,Janet Leverling,1996-08-16 00:00:00.000,Dairy Products,952.0,4,Federal Shipping,Camembert Pierrot,Barquisimeto,LILAS,10283,Gai pâturage,3,27.20,Medium Value,952.0,LILA-Supermercado
3,0,14,72,Venezuela,Janet Leverling,1996-08-16 00:00:00.000,Dairy Products,83.4,4,Federal Shipping,Mozzarella di Giovanni,Barquisimeto,LILAS,10283,Formaggi Fortini s.r.l.,3,27.80,Medium Value,83.4,LILA-Supermercado
15,0.25,11,27,Germany,Margaret Peacock,1996-08-19 00:00:00.000,Confections,394.875,3,Speedy Express,Schoggi Schokolade,Frankfurt a.M.,LEHMS,10284,Heli Süßwaren GmbH & Co. KG,4,35.10,High Value,394.875,Lehmanns Marktstand
21,0,20,44,Germany,Margaret Peacock,1996-08-19 00:00:00.000,Condiments,325.5,2,Speedy Express,Gula Malacca,Frankfurt a.M.,LEHMS,10284,Leka Trading,4,15.50,High Value,325.5,Lehmanns Marktstand
20,0.25,28,60,Germany,Margaret Peacock,1996-08-19 00:00:00.000,Dairy Products,408.0,4,Speedy Express,Camembert Pierrot,Frankfurt a.M.,LEHMS,10284,Gai pâturage,4,27.20,High Value,408.0,Lehmanns Marktstand
5,0.25,16,67,Germany,Margaret Peacock,1996-08-19 00:00:00.000,Beverages,42.0,1,Speedy Express,Laughing Lumberjack Lager,Frankfurt a.M.,LEHMS,10284,Bigfoot Breweries,4,11.20,High Value,42.0,Lehmanns Marktstand
45,0.2,1,1,Germany,Nancy Davolio,1996-08-20 00:00:00.000,Beverages,518.4,1,United Package,Chai,Cunewalde,QUICK,10285,Exotic Liquids,1,14.40,High Value,518.4,QUICK-Stop
40,0.2,19,40,Germany,Nancy Davolio,1996-08-20 00:00:00.000,Seafood,470.40000000000003,8,United Package,Boston Crab Meat,Cunewalde,QUICK,10285,New England Seafood Cannery,1,14.70,High Value,470.40000000000003,QUICK-Stop
36,0.2,24,53,Germany,Nancy Davolio,1996-08-20 00:00:00.000,Meat/Poultry,754.56,6,United Package,Perth Pasties,Cunewalde,QUICK,10285,G'day Mate,1,26.20,High Value,754.56,QUICK-Stop
100,0,16,35,Germany,Laura Callahan,1996-08-21 00:00:00.000,Beverages,1440.0,1,Federal Shipping,Steeleye Stout,Cunewalde,QUICK,10286,Bigfoot Breweries,8,14.40,High Value,1440.0,QUICK-Stop
40,0,29,62,Germany,Laura Callahan,1996-08-21 00:00:00.000,Confections,1576.0,3,Federal Shipping,Tarte au sucre,Cunewalde,QUICK,10286,Forêts d'érables,8,39.40,High Value,1576.0,QUICK-Stop
40,0.15,7,16,Brazil,Laura Callahan,1996-08-22 00:00:00.000,Confections,472.59999999999997,3,Federal Shipping,Pavlova,Rio de Janeiro,RICAR,10287,Pavlova Ltd.,8,13.90,Medium Value,472.59999999999997,Ricardo Adocicados
20,0,16,34,Brazil,Laura Callahan,1996-08-22 00:00:00.000,Beverages,224.0,1,Federal Shipping,Sasquatch Ale,Rio de Janeiro,RICAR,10287,Bigfoot Breweries,8,11.20,Medium Value,224.0,Ricardo Adocicados
15,0.15,21,46,Brazil,Laura Callahan,1996-08-22 00:00:00.000,Seafood,122.39999999999999,8,Federal Shipping,Spegesild,Rio de Janeiro,RICAR,10287,Lyngbysild,8,9.60,Medium Value,122.39999999999999,Ricardo Adocicados
10,0.1,25,54,Italy,Margaret Peacock,1996-08-23 00:00:00.000,Meat/Poultry,53.1,6,Speedy Express,Tourtière,Reggio Emilia,REGGC,10288,Ma Maison,4,5.90,Medium Value,53.1,Reggiani Caseifici
3,0.1,8,68,Italy,Margaret Peacock,1996-08-23 00:00:00.000,Confections,27.0,3,Speedy Express,Scottish Longbreads,Reggio Emilia,REGGC,10288,Specialty Biscuits Ltd.,4,10.00,Medium Value,27.0,Reggiani Caseifici
30,0,1,3,UK,Robert King,1996-08-26 00:00:00.000,Condiments,240.0,2,Federal Shipping,Aniseed Syrup,London,BSBEV,10289,Exotic Liquids,7,8.00,Low Value,240.0,B's Beverages
9,0,12,64,UK,Robert King,1996-08-26 00:00:00.000,Grains/Cereals,239.4,5,Federal Shipping,Wimmers gute Semmelknödel,London,BSBEV,10289,Plutzer Lebensmittelgroßmärkte AG,7,26.60,Low Value,239.4,B's Beverages
20,0,2,5,Brazil,Laura Callahan,1996-08-27 00:00:00.000,Condiments,340.0,2,Speedy Express,Chef Anton's Gumbo Mix,Sao Paulo,COMMI,10290,New Orleans Cajun Delights,8,17.00,Low Value,340.0,Comércio Mineiro
15,0,12,29,Brazil,Laura Callahan,1996-08-27 00:00:00.000,Meat/Poultry,1485.0,6,Speedy Express,Thüringer Rostbratwurst,Sao Paulo,COMMI,10290,Plutzer Lebensmittelgroßmärkte AG,8,99.00,Low Value,1485.0,Comércio Mineiro
15,0,23,49,Brazil,Laura Callahan,1996-08-27 00:00:00.000,Confections,240.0,3,Speedy Express,Maxilaku,Sao Paulo,COMMI,10290,Karkki Oy,8,16.00,Low Value,240.0,Comércio Mineiro
10,0,12,77,Brazil,Laura Callahan,1996-08-27 00:00:00.000,Condiments,104.0,2,Speedy Express,Original Frankfurter grüne Soße,Sao Paulo,COMMI,10290,Plutzer Lebensmittelgroßmärkte AG,8,10.40,Low Value,104.0,Comércio Mineiro
20,0.1,6,13,Brazil,Michael Suyama,1996-08-27 00:00:00.000,Seafood,86.4,8,United Package,Konbu,Rio de Janeiro,QUEDE,10291,Mayumi's,6,4.80,Low Value,86.4,Que Delícia
