LoanAccountId,ProductId,AccountCurrencyId,LoanStatus
220,294,49,Active
221,294,49,Active
222,294,49,Active
223,294,49,Active
224,294,49,Active
225,294,49,Active
226,294,49,Cancelled
227,294,49,Cancelled
228,294,49,Cancelled
229,294,49,Cancelled
230,294,49,Cancelled
231,294,49,Cancelled
232,294,49,Cancelled
233,294,49,Active
234,294,49,Active
235,294,49,Cancelled
236,294,49,Cancelled
237,294,49,Active
238,294,49,Cancelled
239,294,49,Active
240,294,49,Cancelled
241,294,49,Cancelled
242,294,49,Cancelled
243,294,49,Active
244,294,49,Active
245,294,49,Active
246,294,49,Cancelled
247,294,49,Cancelled
248,294,49,Active
249,294,49,Active
250,294,49,Active
251,294,49,Active
252,294,49,Active
253,294,49,Active
254,294,49,Cancelled
255,294,49,Cancelled
256,294,49,Cancelled
257,294,49,Active
258,294,49,Cancelled
259,294,49,Cancelled
260,294,49,Active
261,294,49,Active
262,294,49,Active
263,294,49,Active
264,294,49,Cancelled
265,294,49,Cancelled
266,294,49,Active
267,294,49,Active
268,294,49,Cancelled
269,294,49,Active
270,294,49,Cancelled
271,294,49,Cancelled
272,294,49,Active
273,294,49,Cancelled
274,294,49,Cancelled
275,294,49,Active
276,294,49,Active
277,294,49,Active
278,294,49,Cancelled
279,294,49,Active
280,294,49,Cancelled
281,294,49,Cancelled
282,294,49,Active
283,294,49,Active
284,294,49,Cancelled
285,294,49,Cancelled
286,294,49,Cancelled
287,294,49,Cancelled
288,294,49,Cancelled
289,294,49,Cancelled
290,294,49,Cancelled
291,294,49,Cancelled
292,294,49,Cancelled
293,294,49,Cancelled
294,294,49,Cancelled
295,294,49,Cancelled
296,294,49,Active
297,294,49,Active
298,294,49,Cancelled
299,294,49,Cancelled
300,294,49,Active
301,294,49,Active
302,294,49,Cancelled
303,294,49,Cancelled
304,294,49,Cancelled
305,294,49,Cancelled
306,294,49,Cancelled
307,294,49,Active
308,294,49,Active
309,294,49,Cancelled
310,294,49,Active
311,294,49,Active
312,294,49,Active
313,294,49,Active
314,294,49,Active
315,294,49,Cancelled
316,294,49,Cancelled
317,294,49,Cancelled
318,294,49,Cancelled
319,294,49,Active
320,294,49,Cancelled
321,294,49,Cancelled
322,294,49,Cancelled
323,294,49,Cancelled
324,294,49,Cancelled
325,294,49,Active
326,294,49,Active
327,294,49,Cancelled
328,294,49,Cancelled
329,294,49,Cancelled
330,294,49,Cancelled
331,294,49,Cancelled
332,294,49,Cancelled
333,294,49,Active
334,294,49,Active
335,294,49,Active
336,294,49,Cancelled
337,294,49,Cancelled
338,294,49,Cancelled
339,294,49,Active
340,294,49,Active
341,294,49,Active
342,294,49,Active
343,293,49,Active
344,293,49,Active
345,294,49,Cancelled
346,294,49,Active
347,294,49,Active
348,294,49,Cancelled
349,294,49,Cancelled
350,344,49,Active
351,344,49,Active
352,293,49,Active
353,293,49,Active
354,293,49,Cancelled
355,293,49,Cancelled
356,293,49,Cancelled
357,293,49,Cancelled
358,344,49,Active
359,293,49,Cancelled
360,293,49,Cancelled
361,293,49,Active
362,344,49,Active
363,344,49,Active
364,293,49,Cancelled
365,293,49,Cancelled
366,293,49,Active
367,293,49,Active
368,293,49,Active
369,293,49,Active
370,293,49,Active
371,293,49,Active
372,293,49,Active
373,344,49,Active
374,293,49,Active
375,293,49,Active
376,344,49,Active
377,344,49,Active
378,293,49,Cancelled
379,293,49,Cancelled
380,293,49,Cancelled
381,293,49,Cancelled
382,293,49,Cancelled
383,344,49,Active
384,293,49,Cancelled
385,293,49,Cancelled
386,293,49,Cancelled
387,293,49,Cancelled
388,293,49,Active
389,293,49,Active
390,293,49,Active
391,293,49,Active
392,293,49,Active
393,344,49,Active
394,293,49,Active
395,293,49,Cancelled
396,293,49,Cancelled
397,293,49,Active
398,344,49,Active
399,344,49,Active
400,344,49,Active
401,293,49,Cancelled
402,293,49,Cancelled
403,344,49,Active
404,344,49,Active
405,293,49,Active
406,293,49,Cancelled
407,293,49,Cancelled
408,293,49,Cancelled
409,293,49,Active
410,293,49,Active
411,293,49,Active
412,293,49,Active
413,293,49,Active
414,344,49,Cancelled
415,293,49,Cancelled
416,293,49,Active
417,293,49,Active
418,344,49,Active
419,344,49,Active
420,344,49,Active
421,293,49,Active
422,293,49,Active
423,293,49,Active
424,293,49,Active
425,293,49,Active
426,293,49,Active
427,344,49,Active
428,344,49,Active
429,293,49,Active
430,293,49,Active
431,293,49,Active
432,293,49,Active
433,344,49,Active
434,293,49,Active
435,293,49,Active
436,344,49,Active
437,344,49,Active
438,293,49,Active
439,293,49,Cancelled
440,293,49,Cancelled
441,293,49,Active
442,293,49,Active
443,293,49,Cancelled
444,293,49,Cancelled
445,293,49,Active
446,293,49,Active
447,344,49,Active
448,344,49,Active
449,293,49,Cancelled
450,293,49,Active
451,344,49,Active
452,344,49,Active
453,293,49,Cancelled
454,293,49,Cancelled
455,344,49,Active
456,344,49,Active
457,344,49,Active
458,293,49,Cancelled
459,293,49,Cancelled
460,293,49,Active
461,293,49,Active
462,344,49,Active
463,344,49,Active
464,344,49,Active
465,344,49,Active
466,293,49,Active
467,293,49,Cancelled
468,293,49,Cancelled
469,293,49,Cancelled
470,293,49,Cancelled
471,344,49,Cancelled
472,344,49,Cancelled
473,344,49,Active
474,344,49,Active
475,293,49,Active
476,293,49,Active
477,344,49,Active
478,344,49,Active
479,293,49,Active
480,293,49,Active
481,293,49,Active
482,293,49,Active
483,293,49,Cancelled
484,293,49,Cancelled
485,293,49,Cancelled
486,293,49,Cancelled
487,293,49,Active
488,293,49,Active
489,293,49,Cancelled
490,293,49,Cancelled
491,344,49,Active
492,344,49,Active
493,293,49,Active
494,293,49,Active
495,344,49,Active
496,344,49,Active
497,293,49,Cancelled
498,293,49,Cancelled
499,344,49,Active
