LoanAccountTransactionId;SourceId;TransactionDateId;ValueDateId;EntryDateID;LoanAccountId;TransactionTypeId;TransactionStatus;RectifyStatus;TransactionCurrencyId;TransactionAmount;TransactionAmountSEK;CounterpartClearingNumber;CounterPartBic;CounterPartIban;TransactionReference;ExchangeRateId;TransactionText;AccountServicerReference;CounterPartId;CounterPartAccountNumber;CounterPartBankName;TransactionDateTime;IsDirectDebit;GLAccount;EventName;InvoiceId
990225;8;20230404;20230228;20230228;44;1870;NULL;NULL;49;-303,81;-3428,23761;NULL;NULL;NULL;00446003439-44117864;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990226;8;20230404;20230228;20230228;52;1769;NULL;NULL;49;-41,96;-473,48293;NULL;NULL;NULL;00446003439-44118357;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990227;8;20230404;20230228;20230228;52;1870;NULL;NULL;49;-441,68;-4983,98337;NULL;NULL;NULL;00446003439-44118359;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990228;8;20230404;20230228;20230228;55;1869;NULL;NULL;49;-0,06;-0,67705;NULL;NULL;NULL;00446003439-44118395;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990229;8;20230404;20230228;20230228;55;1870;NULL;NULL;49;-387,23;-4369,5614;NULL;NULL;NULL;00446003439-44118397;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990230;8;20230404;20230228;20230228;56;1769;NULL;NULL;49;-32,59;-367,75045;NULL;NULL;NULL;00446003439-44118454;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990231;8;20230404;20230228;20230228;56;1870;NULL;NULL;49;-343,07;-3871,25334;NULL;NULL;NULL;00446003439-44118456;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990232;8;20230404;20230228;20230228;65;1769;NULL;NULL;49;-25,87;-291,92096;NULL;NULL;NULL;00446003439-44116087;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990233;8;20230404;20230228;20230228;65;1870;NULL;NULL;49;-261,36;-2949,22544;NULL;NULL;NULL;00446003439-44116089;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990234;8;20230404;20230228;20230228;71;1769;NULL;NULL;49;-32,95;-371,81274;NULL;NULL;NULL;00446003439-44098686;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990235;8;20230404;20230228;20230228;71;1769;NULL;NULL;49;-32,93;-371,58706;NULL;NULL;NULL;00446003439-44116116;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990236;8;20230404;20230228;20230228;71;1769;NULL;NULL;49;-5;-56,42075;NULL;NULL;NULL;00446003439-44098688;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990237;8;20230404;20230228;20230228;71;1769;NULL;NULL;49;-5;-56,42075;NULL;NULL;NULL;00446003439-44098690;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990238;8;20230404;20230228;20230228;71;1769;NULL;NULL;49;-5;-56,42075;NULL;NULL;NULL;00446003439-44116118;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990239;8;20230404;20230228;20230228;71;1769;NULL;NULL;49;-5;-56,42075;NULL;NULL;NULL;00446003439-44116120;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990240;8;20230404;20230228;20230228;71;1870;NULL;NULL;49;-332,85;-3755,92933;NULL;NULL;NULL;00446003439-44098692;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990241;8;20230404;20230228;20230228;71;1870;NULL;NULL;49;-332,59;-3752,99545;NULL;NULL;NULL;00446003439-44116122;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990242;8;20230404;20230228;20230228;73;1870;NULL;NULL;49;-85,45;-964,23062;NULL;NULL;NULL;00446003439-44116133;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990243;8;20230404;20230228;20230228;74;1870;NULL;NULL;49;-455,38;-5138,57623;NULL;NULL;NULL;00446003439-44116137;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990244;8;20230404;20230228;20230228;111;1870;NULL;NULL;49;-195,23;-2203,0046;NULL;NULL;NULL;00446003439-44116433;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990245;8;20230404;20230228;20230228;112;1769;NULL;NULL;49;-63,3;-714,2867;NULL;NULL;NULL;00446003439-44116477;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990246;8;20230404;20230228;20230228;112;1870;NULL;NULL;49;-631,38;-7124,58663;NULL;NULL;NULL;00446003439-44116479;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990247;8;20230404;20230228;20230228;117;1870;NULL;NULL;49;-1875,41;-21162,40775;NULL;NULL;NULL;00446003439-44094256;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990248;8;20230404;20230228;20230228;117;1870;NULL;NULL;49;-435,07;-4909,39514;NULL;NULL;NULL;00446003439-44094268;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990249;8;20230404;20230228;20230228;117;1870;NULL;NULL;49;-433,63;-4893,14596;NULL;NULL;NULL;00446003439-44094264;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990250;8;20230404;20230228;20230228;117;1870;NULL;NULL;49;-432,27;-4877,79952;NULL;NULL;NULL;00446003439-44094260;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990251;8;20230404;20230228;20230228;118;1870;NULL;NULL;49;-353,39;-3987,70577;NULL;NULL;NULL;00446003439-44116526;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990252;8;20230404;20230228;20230228;139;1769;NULL;NULL;49;-20,04;-226,13437;NULL;NULL;NULL;00446003439-44116866;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990253;8;20230404;20230228;20230228;139;1870;NULL;NULL;49;-194,47;-2194,42865;NULL;NULL;NULL;00446003439-44116868;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990254;8;20230404;20230228;20230228;162;1870;NULL;NULL;49;-479,84;-5414,58654;NULL;NULL;NULL;00446003439-44117001;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990255;8;20230404;20230228;20230228;177;1870;NULL;NULL;49;-551,31;-6221,06474;NULL;NULL;NULL;00446003439-44117097;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990256;8;20230404;20230228;20230228;182;1769;NULL;NULL;49;-5;-56,42075;NULL;NULL;NULL;00446003440-44155698;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990257;8;20230404;20230228;20230228;182;1769;NULL;NULL;49;-5;-56,42075;NULL;NULL;NULL;00446003440-44163316;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990258;8;20230404;20230228;20230228;182;1769;NULL;NULL;49;-5;-56,42075;NULL;NULL;NULL;00446003440-44163318;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990259;8;20230404;20230228;20230228;182;1870;NULL;NULL;49;-144,13;-1626,38454;NULL;NULL;NULL;00446003440-44155700;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990260;8;20230404;20230228;20230228;182;1870;NULL;NULL;49;-99,23;-1119,7262;NULL;NULL;NULL;00446003440-44163320;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990261;8;20230404;20230228;20230228;182;1870;NULL;NULL;49;-85,91;-969,42133;NULL;NULL;NULL;00446003440-44154762;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990262;8;20230404;20230228;20230228;182;1870;NULL;NULL;49;-64,13;-723,65254;NULL;NULL;NULL;00446003440-44163312;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990263;8;20230404;20230228;20230228;182;1870;NULL;NULL;49;-21,48;-242,38354;NULL;NULL;NULL;00446003440-44155694;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990264;8;20230404;20230228;20230228;194;1821;NULL;NULL;49;-28156,34;-317720,364;NULL;NULL;NULL;00446003439-44117192;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990265;8;20230404;20230228;20230228;194;1870;NULL;NULL;49;-396,62;-4475,51957;NULL;NULL;NULL;00446003439-44117188;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990266;8;20230404;20230228;20230228;205;1870;NULL;NULL;49;-389,87;-4399,35156;NULL;NULL;NULL;00446003439-44117309;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990267;8;20230404;20230228;20230228;206;1870;NULL;NULL;49;-263,63;-2974,84046;NULL;NULL;NULL;00446003439-44117464;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990268;8;20230404;20230228;20230228;229;1870;NULL;NULL;49;-71,92;-811,55607;NULL;NULL;NULL;00446003439-44117792;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990269;8;20230404;20230228;20230228;244;1821;NULL;NULL;49;-78,26;-883,09758;NULL;NULL;NULL;00446003439-44117904;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990270;8;20230404;20230228;20230228;244;1870;NULL;NULL;49;-391,32;-4415,71358;NULL;NULL;NULL;00446003439-44117900;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990271;8;20230404;20230228;20230228;269;1870;NULL;NULL;49;-592,28;-6683,37636;NULL;NULL;NULL;00446003440-44163583;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990272;8;20230404;20230228;20230228;275;1769;NULL;NULL;49;-27,26;-307,60593;NULL;NULL;NULL;00446003440-44163611;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990273;8;20230404;20230228;20230228;275;1870;NULL;NULL;49;-275,36;-3107,20354;NULL;NULL;NULL;00446003440-44163613;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990274;8;20230404;20230228;20230228;322;1870;NULL;NULL;49;-153,03;-1726,81347;NULL;NULL;NULL;00446003439-44118732;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990275;8;20230404;20230228;20230228;325;1870;NULL;NULL;49;-85,47;-964,4563;NULL;NULL;NULL;00446003439-44118740;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990276;8;20230404;20230228;20230228;326;1769;NULL;NULL;49;-26,93;-303,88216;NULL;NULL;NULL;00446003439-44099036;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990277;8;20230404;20230228;20230228;326;1869;NULL;NULL;49;-9,03;-101,89587;NULL;NULL;NULL;00446003439-44099038;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990278;8;20230404;20230228;20230228;326;1870;NULL;NULL;49;-272,04;-3069,74017;NULL;NULL;NULL;00446003439-44099040;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990279;8;20230404;20230228;20230228;338;1821;NULL;NULL;49;-15128,78;-170715,4228;NULL;NULL;NULL;00446003439-44118805;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990280;8;20230404;20230228;20230228;338;1870;NULL;NULL;49;-260,55;-2940,08528;NULL;NULL;NULL;00446003439-44118801;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990281;8;20230404;20230228;20230228;342;1870;NULL;NULL;49;-523,34;-5905,44706;NULL;NULL;NULL;00446003439-44118936;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990282;8;20230404;20230228;20230228;344;1870;NULL;NULL;49;-253,54;-2860,98339;NULL;NULL;NULL;00446003439-44118964;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990283;8;20230404;20230228;20230228;355;1769;NULL;NULL;49;-5;-56,42075;NULL;NULL;NULL;00446003440-44205452;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990284;8;20230404;20230228;20230228;355;1870;NULL;NULL;49;-91,37;-1031,03279;NULL;NULL;NULL;00446003440-44158744;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990285;8;20230404;20230228;20230228;355;1870;NULL;NULL;49;-84,63;-954,97761;NULL;NULL;NULL;00446003440-44205454;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990286;8;20230404;20230228;20230228;365;1870;NULL;NULL;49;-52,31;-590,27389;NULL;NULL;NULL;00446003440-44173824;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990287;8;20230404;20230228;20230228;367;1870;NULL;NULL;49;-187,05;-2110,70026;NULL;NULL;NULL;00446003440-44158748;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990288;8;20230404;20230228;20230228;370;1870;NULL;NULL;49;-99,47;-1122,4344;NULL;NULL;NULL;00446003440-44205637;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990289;8;20230404;20230228;20230228;372;1870;NULL;NULL;49;-241,51;-2725,23507;NULL;NULL;NULL;00446003440-44205641;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990290;8;20230404;20230228;20230228;375;1870;NULL;NULL;49;-122,13;-1378,13324;NULL;NULL;NULL;00446003440-44206030;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990291;8;20230404;20230228;20230228;378;1870;NULL;NULL;49;-91,46;-1032,04836;NULL;NULL;NULL;00446003440-44172095;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990292;8;20230404;20230228;20230228;384;1870;NULL;NULL;49;-136,74;-1542,99467;NULL;NULL;NULL;00446003440-44205871;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990293;8;20230404;20230228;20230228;387;1821;NULL;NULL;49;-49,33;-556,64712;NULL;NULL;NULL;00446003440-44205782;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990294;8;20230404;20230228;20230228;387;1870;NULL;NULL;49;-246,65;-2783,2356;NULL;NULL;NULL;00446003440-44205778;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990295;8;20230404;20230228;20230228;391;1821;NULL;NULL;49;-63,48;-716,31784;NULL;NULL;NULL;00446003440-44198946;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990296;8;20230404;20230228;20230228;391;1870;NULL;NULL;49;-317,39;-3581,47637;NULL;NULL;NULL;00446003440-44198942;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990297;8;20230404;20230228;20230228;394;1870;NULL;NULL;49;-151,09;-1704,92222;NULL;NULL;NULL;00446003440-44205953;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990298;8;20230404;20230228;20230228;396;1870;NULL;NULL;49;-210,48;-2375,08789;NULL;NULL;NULL;00446003440-44205808;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990299;8;20230404;20230228;20230228;397;1821;NULL;NULL;49;-7953,96;-89753,67773;NULL;NULL;NULL;00446003440-44206004;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990300;8;20230404;20230228;20230228;397;1870;NULL;NULL;49;-195,35;-2204,3587;NULL;NULL;NULL;00446003440-44206000;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990301;8;20230404;20230228;20230228;400;1870;NULL;NULL;49;-277,98;-3136,76802;NULL;NULL;NULL;00446003440-44171212;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990302;8;20230404;20230228;20230228;405;1821;NULL;NULL;49;-976,35;-11017,27985;NULL;NULL;NULL;00446003440-44205972;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990303;8;20230404;20230228;20230228;405;1870;NULL;NULL;49;-50,72;-572,33209;NULL;NULL;NULL;00446003440-44205968;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990304;8;20230404;20230228;20230228;407;1870;NULL;NULL;49;-480,49;-5421,92123;NULL;NULL;NULL;00446003440-44206143;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990305;8;20230404;20230228;20230228;408;1870;NULL;NULL;49;-17,84;-201,30924;NULL;NULL;NULL;00446003440-44179446;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990306;8;20230404;20230228;20230228;412;1870;NULL;NULL;49;-348,07;-3927,67409;NULL;NULL;NULL;00446003440-44206194;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990307;8;20230404;20230228;20230228;414;1870;NULL;NULL;49;-215,18;-2428,1234;NULL;NULL;NULL;00446003440-44206254;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990308;8;20230404;20230228;20230228;418;1870;NULL;NULL;49;-211,96;-2391,78843;NULL;NULL;NULL;00446003440-44159772;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990309;8;20230404;20230228;20230228;420;1870;NULL;NULL;49;-219,26;-2474,16273;NULL;NULL;NULL;00446003440-44206467;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990310;8;20230404;20230228;20230228;422;1870;NULL;NULL;49;-351,45;-3965,81452;NULL;NULL;NULL;00446003440-44206762;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990311;8;20230404;20230228;20230228;428;1870;NULL;NULL;49;-327,82;-3699,17005;NULL;NULL;NULL;00446003440-44206847;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990312;8;20230404;20230228;20230228;433;1870;NULL;NULL;49;-110,9;-1251,41224;NULL;NULL;NULL;00446003440-44160165;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990313;8;20230404;20230228;20230228;435;1769;NULL;NULL;49;-5;-56,42075;NULL;NULL;NULL;00446003440-44206941;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990314;8;20230404;20230228;20230228;435;1870;NULL;NULL;49;-23,44;-264,50048;NULL;NULL;NULL;00446003440-44158794;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990315;8;20230404;20230228;20230228;435;1870;NULL;NULL;49;-16,7;-188,44531;NULL;NULL;NULL;00446003440-44206943;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990316;8;20230404;20230228;20230228;435;1870;NULL;NULL;49;-5,86;-66,12512;NULL;NULL;NULL;00446003440-44206937;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990317;8;20230404;20230228;20230228;440;1870;NULL;NULL;49;-8;-90,2732;NULL;NULL;NULL;00446003440-44207007;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990318;8;20230404;20230228;20230228;448;1870;NULL;NULL;49;-249,56;-2816,07247;NULL;NULL;NULL;00446003440-44191421;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990319;8;20230404;20230228;20230228;451;1870;NULL;NULL;49;-195,64;-2207,63111;NULL;NULL;NULL;00446003440-44207086;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990320;8;20230404;20230228;20230228;452;1870;NULL;NULL;49;-374,89;-4230,31499;NULL;NULL;NULL;00446003440-44207203;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990321;8;20230404;20230228;20230228;454;1870;NULL;NULL;49;-310,03;-3498,42502;NULL;NULL;NULL;00446003440-44207199;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1071380;8;20230317;20230213;20230213;25;1950;NULL;NULL;49;11130,58;125599,1343;NULL;NULL;NULL;00000000000-43264156;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1071534;8;20230324;20230222;20230222;7;1870;NULL;NULL;49;-454,73;-5131,24153;NULL;NULL;NULL;00446003437-44035587;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1071535;8;20230324;20230222;20230222;12;1870;NULL;NULL;49;-420,36;-4743,40529;NULL;NULL;NULL;00446003437-44036067;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1071536;8;20230324;20230222;20230222;36;1870;NULL;NULL;49;-546,93;-6171,64016;NULL;NULL;NULL;00446003437-44043487;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1071537;8;20230324;20230222;20230222;49;1870;NULL;NULL;49;-266,31;-3005,08199;NULL;NULL;NULL;00446003437-44038068;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1071538;8;20230324;20230222;20230222;95;1870;NULL;NULL;49;-255,07;-2878,24814;NULL;NULL;NULL;00446003437-44036844;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1071539;8;20230324;20230222;20230222;101;1870;NULL;NULL;49;-467,85;-5279,28958;NULL;NULL;NULL;00446003437-44036888;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1071540;8;20230324;20230222;20230222;135;1821;NULL;NULL;49;-13355,44;-150704,7883;NULL;NULL;NULL;00446003437-44037199;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1071541;8;20230324;20230222;20230222;135;1870;NULL;NULL;49;-259,06;-2923,2719;NULL;NULL;NULL;00446003437-44037195;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
