LoanAccountTransactionId,TransactionDateId,LoanAccountId,TransactionAmount,TransactionAmountSEK
990303,20230404,405,-5072.0,-57233209.0
990304,20230404,407,-48049.0,-542192123.0
990305,20230404,408,-1784.0,-20130924.0
990306,20230404,412,-34807.0,-392767409.0
990307,20230404,414,-21518.0,-24281234.0
990308,20230404,418,-21196.0,-239178843.0
990309,20230404,420,-21926.0,-247416273.0
990310,20230404,422,-35145.0,-396581452.0
990311,20230404,428,-32782.0,-369917005.0
990312,20230404,433,-1109.0,-125141224.0
990313,20230404,435,-5.0,-5642075.0
990314,20230404,435,-2344.0,-26450048.0
990315,20230404,435,-167.0,-18844531.0
990316,20230404,435,-586.0,-6612512.0
990317,20230404,440,-8.0,-902732.0
990318,20230404,448,-24956.0,-281607247.0
990319,20230404,451,-19564.0,-220763111.0
990320,20230404,452,-37489.0,-423031499.0
990321,20230404,454,-31003.0,-349842502.0
1071380,20230317,25,1113058.0,1255991343.0
1071534,20230324,7,-45473.0,-513124153.0
1071535,20230324,12,-42036.0,-474340529.0
1071536,20230324,36,-54693.0,-617164016.0
1071537,20230324,49,-26631.0,-300508199.0
1071538,20230324,95,-25507.0,-287824814.0
1071539,20230324,101,-46785.0,-527928958.0
1071540,20230324,135,-1335544.0,-1507047883.0
1071541,20230324,135,-25906.0,-29232719.0
1071542,20230324,145,-606.0,-6838195.0
1071543,20230324,145,-604.0,-6815627.0
1071544,20230324,145,-5.0,-5642075.0
1071545,20230324,145,-6118.0,-6903643.0
1071546,20230324,145,-6106.0,-6890102.0
1071547,20230324,152,-2268.0,-255924522.0
1071548,20230324,155,-16011.0,-180670526.0
1071549,20230324,188,-656.0,-74024024.0
1071550,20230324,217,-25764.0,-290724841.0
1071551,20230324,248,-36347.0,-410145.0
1071552,20230324,263,-39851.0,-449684662.0
1071553,20230324,279,-19053.0,-21499691.0
1071554,20230324,287,-5982.0,-67501785.0
1071555,20230324,314,-45649.0,-515110163.0
1071556,20230324,341,-5.0,-5642075.0
1071557,20230324,341,-5.0,-5642075.0
1071558,20230324,341,-5.0,-5642075.0
1071559,20230324,341,-5.0,-5642075.0
1071560,20230324,341,-18893.0,-213191446.0
1071561,20230324,341,-18708.0,-211103878.0
1071562,20230324,351,-1045.0,-117919368.0
1071563,20230324,353,-94616.0,-1067661136.0
1071564,20230324,353,-2822.0,-31843871.0
1071565,20230324,361,-1005171.0,-1134250034.0
1071566,20230324,361,-12118.0,-13674133.0
1071567,20230324,363,-36186.0,-408328252.0
1071568,20230324,368,-4633.0,-52279467.0
1071569,20230324,377,-64917.0,-732533166.0
1071570,20230324,380,-8372.0,-94470904.0
1071571,20230324,382,-4992.0,-56330477.0
1071572,20230324,386,-12342.0,-139268979.0
1071573,20230324,386,-61712.0,-696367465.0
1071574,20230324,413,-5164.0,-58271351.0
1071575,20230324,426,-807387.0,-9110676016.0
1071576,20230324,426,-14244.0,-160731433.0
1071577,20230324,432,-7509.0,-84732682.0
1071578,20230324,437,-376453.0,-424795212.0
1071579,20230324,437,-38629.0,-43589543.0
1071580,20230324,438,-4579964.0,-5168100077.0
1071581,20230324,438,-55484.0,-626089779.0
1071582,20230324,440,-6287.0,-70943451.0
1071583,20230324,442,-16593.0,-187237901.0
1071584,20230324,444,-5402.0,-60956978.0
1071585,20230324,450,-14717.0,-166068836.0
1071586,20230324,456,-19297.0,-217750243.0
1071587,20230324,459,-17602.0,-198623608.0
1071588,20230324,461,-3728859.0,-4207700429.0
1071589,20230324,461,-43573.0,-491684268.0
1071590,20230324,482,-7684.0,-86707409.0
990322,20230404,457,-69397.0,-783086158.0
990323,20230404,465,-47173.0,-532307208.0
990324,20230404,466,-3926.0,-44301573.0
990325,20230404,472,-13947.0,-15738004.0
990326,20230404,478,-1470779.0,-1659649085.0
990327,20230404,478,-28163.0,-317795516.0
990328,20230404,486,-49281.0,-556094196.0
990329,20230404,490,-1924.0,-217107046.0
990330,20230404,492,-25045.0,-282611537.0
990331,20230404,494,-6829.0,-7705946.0
1120348,20230110,141,-100.0,-111529.0
1120349,20230110,184,-10508.0,-117194673.0
1120350,20230110,184,-92.0,-1026067.0
1120351,20230110,325,-9473.0,-105651422.0
1130585,20230502,6,-46751.0,-527545297.0
1130586,20230502,22,-59651.0,-673110832.0
1130587,20230502,24,-3792.0,-42789497.0
1130588,20230502,24,-3782.0,-42676655.0
1130589,20230502,24,-5.0,-5642075.0
1130590,20230502,24,-39915.0,-450406847.0
1130591,20230502,24,-39807.0,-449188159.0
1130592,20230502,27,-2860518.0,-3227851419.0
1130593,20230502,27,-4589.0,-517829644.0
1130594,20230502,37,-38914.0,-439111413.0
1130595,20230502,39,-1029.0,-116113904.0
1130596,20230502,49,-26578.0,-299910139.0
1130597,20230502,50,-5.0,-5642075.0
1130598,20230502,50,-5.0,-5642075.0
1130599,20230502,50,-45836.0,-517220299.0
1130600,20230502,50,-45509.0,-513530382.0
1130601,20230502,55,-38613.0,-435714884.0
1130602,20230502,56,-3254.0,-36718624.0
1130603,20230502,56,-1574984.0,-177723557.0
1130604,20230502,56,-34248.0,-386459569.0
1130605,20230502,64,-4355.0,-49142473.0
1130606,20230502,64,-4256.0,-48025342.0
1130607,20230502,64,-5.0,-5642075.0
1130608,20230502,64,-5.0,-5642075.0
1130609,20230502,64,-43987.0,-496355906.0
1130610,20230502,64,-42992.0,-485128177.0
1130611,20230502,65,-2583.0,-29146959.0
1130612,20230502,65,-26086.0,-294358337.0
1130613,20230502,74,-9108.0,-102776038.0
1130614,20230502,74,-45538.0,-513857623.0
1130615,20230502,93,-46388.0,-52344915.0
1130616,20230502,95,-8.0,-902732.0
1130617,20230502,95,-25507.0,-287824814.0
1130618,20230502,98,-3849001.0,-4343270463.0
1130619,20230502,98,-53999.0,-609332816.0
1130620,20230502,112,-633.0,-7142867.0
1130621,20230502,112,-63138.0,-712458663.0
1130622,20230502,121,-5.0,-5642075.0
1130623,20230502,121,-24773.0,-279542248.0
1130624,20230502,139,-2001.0,-22579584.0
1130625,20230502,139,-20208.0,-228030103.0
1130626,20230502,141,-41277.0,-46577586.0
1130627,20230502,145,-576.0,-649967.0
1130628,20230502,145,-5814.0,-65606048.0
1130629,20230502,152,-5.0,-5642075.0
1130630,20230502,152,-22366.0,-252381299.0
1130631,20230502,152,-9267.0,-104570218.0
1130632,20230502,183,-3542.0,-39968459.0
1130633,20230502,183,-35775.0,-403690466.0
1130634,20230502,206,-26363.0,-297484046.0
1130635,20230502,217,-20574.0,-232160102.0
1130636,20230502,219,-24687.0,-278571811.0
1130637,20230502,220,-27319.0,-308271694.0
1130638,20230502,229,-8.0,-902732.0
1130639,20230502,229,-7191.0,-81144323.0
1130640,20230502,237,-4939.0,-55732417.0
1130641,20230502,237,-49885.0,-562909823.0
1130642,20230502,248,-2342368.0,-2643163187.0
1130643,20230502,248,-36253.0,-40908429.0
1130644,20230502,308,-1416776.0,-159871129.0
1130645,20230502,308,-2974.0,-335590621.0
1130646,20230502,314,-5.0,-5642075.0
1130647,20230502,314,-45649.0,-515110163.0
1130648,20230502,314,-45542.0,-513902759.0
1130649,20230502,319,-69255.0,-781483808.0
1130650,20230502,319,-5465.0,-6166788.0
1130651,20230502,326,-268.0,-30241522.0
1130652,20230502,326,-595.0,-67140693.0
1130653,20230502,326,-27068.0,-305439372.0
1130654,20230502,334,-16177.0,-182543695.0
1130655,20230502,338,-5.0,-5642075.0
1130656,20230502,338,-4256.0,-48025342.0
1130657,20230502,338,-536.0,-6048304.0
1130658,20230502,341,-5.0,-5642075.0
1130659,20230502,341,-18758.0,-211668086.0
1130660,20230502,341,-3771.0,-4255253.0
1130661,20230502,342,-52173.0,-588727958.0
1142628,20230421,2,-75436.0,-851231139.0
1142629,20230421,6,-46886.0,-529068657.0
1142630,20230421,22,-74564.0,-841391361.0
1142631,20230421,27,-46011.0,-519195026.0
1142632,20230421,36,-10939.0,-123437317.0
1142633,20230421,36,-54693.0,-617164016.0
1142634,20230421,37,-38986.0,-439923872.0
1142635,20230421,39,-2374348.0,-2679249898.0
1142636,20230421,39,-32046.0,-361611871.0
1142637,20230421,44,-30381.0,-342823761.0
1142638,20230421,49,-2663.0,-300496915.0
1142639,20230421,50,-45836.0,-517220299.0
1142640,20230421,64,-4355.0,-49142473.0
1142641,20230421,64,-43987.0,-496355906.0
1142642,20230421,98,-5432.0,-612955028.0
1142643,20230421,101,-4673.0,-52730833.0
1142644,20230421,118,-35339.0,-398770577.0
1142645,20230421,141,-5.0,-5642075.0
1142646,20230421,141,-41277.0,-46577586.0
1142647,20230421,145,-591.0,-6668933.0
1142648,20230421,145,-5967.0,-67332523.0
1142649,20230421,152,-5.0,-5642075.0
1142650,20230421,152,-5.0,-5642075.0
1142651,20230421,152,-18106.0,-20431082.0
1142652,20230421,152,-13314.0,-150237173.0
1142653,20230421,152,-4651.0,-52482582.0
1142654,20230421,155,-871579.0,-9835028173.0
1142655,20230421,155,-16011.0,-180670526.0
1142656,20230421,162,-47849.0,-539935293.0
1142657,20230421,183,-3542.0,-39968459.0
1142658,20230421,183,-3542.0,-39968459.0
1142659,20230421,183,-5.0,-5642075.0
1142660,20230421,183,-35775.0,-403690466.0
1142661,20230421,183,-35775.0,-403690466.0
1142662,20230421,190,-21837.0,-246411984.0
1142663,20230421,196,-7282.0,-821711803.0
1142664,20230421,196,-23133.0,-261036242.0
1142665,20230421,196,-23071.0,-260336625.0
1142666,20230421,196,-23012.0,-25967086.0
1142667,20230421,205,-38966.0,-439698189.0
1142668,20230421,217,-25764.0,-290724841.0
1142669,20230421,229,-6392.0,-72128287.0
1142670,20230421,248,-36347.0,-410145.0
1142671,20230421,263,-39042.0,-440555784.0
1142672,20230421,279,-3811.0,-43003896.0
1142673,20230421,279,-19053.0,-21499691.0
1142674,20230421,287,-1104.0,-12457702.0
1142675,20230421,287,-5518.0,-6226594.0
1142676,20230421,308,-5.0,-5642075.0
1142677,20230421,308,-2974.0,-335590621.0
1142678,20230421,308,-2974.0,-335590621.0
1142679,20230421,326,-2693.0,-30388216.0
1142680,20230421,326,-2686.0,-30309227.0
1142681,20230421,326,-5.0,-5642075.0
1142682,20230421,326,-5.0,-5642075.0
1142683,20230421,326,-27205.0,-306985301.0
1142684,20230421,326,-27135.0,-30619541.0
1142685,20230421,341,-15083.0,-170198834.0
1142686,20230421,344,-25354.0,-286098339.0
1142687,20230421,355,-7819.0,-88230769.0
1142688,20230421,357,-5.0,-5642075.0
1142689,20230421,357,-27016.0,-304852596.0
1142690,20230421,357,-27016.0,-304852596.0
1142691,20230421,360,-12287.0,-138648351.0
1142692,20230421,361,-1768.0,-19950377.0
1142693,20230421,367,-5.0,-5642075.0
1142694,20230421,367,-5.0,-5642075.0
1142695,20230421,367,-18733.0,-211385982.0
1142696,20230421,367,-18434.0,-208012021.0
1142697,20230421,368,-4633.0,-52279467.0
1142698,20230421,373,-5.0,-5642075.0
1142699,20230421,373,-108.0,-12186882.0
1142700,20230421,373,-108.0,-12186882.0
1142701,20230421,377,-64917.0,-732533166.0
1142702,20230421,382,-4991.0,-56319193.0
1142703,20230421,387,-24665.0,-27832356.0
1142704,20230421,389,-22953.0,-259005095.0
1142705,20230421,391,-31739.0,-358147637.0
1142706,20230421,392,-8.0,-902732.0
1142707,20230421,392,-15498.0,-174881757.0
1142708,20230421,393,-31922.0,-360212636.0
1142709,20230421,394,-15108.0,-170480938.0
1142710,20230421,397,-50.0,-5642075.0
917525,20230104,93,-17.0,-189599.0
917526,20230104,93,-45983.0,-512843801.0
917527,20230104,98,-1757.0,-19595645.0
917528,20230104,98,-53243.0,-593813855.0
917529,20230104,155,-15439.0,-172189623.0
917530,20230104,322,-5.0,-557645.0
917531,20230104,322,-15633.0,-174353286.0
917532,20230104,322,-15757.0,-175736245.0
917533,20230104,478,15000.0,1672935.0
917534,20230104,490,15000.0,1672935.0
917535,20230104,492,8000.0,892232.0
917536,20230104,496,138177.0,1541074263.0
918247,20230106,308,-28952.0,-322898761.0
1032454,20230111,271,-1265.0,-14108419.0
1033735,20230118,24,-3748.0,-42292994.0
1033736,20230118,24,-39449.0,-445148433.0
1033737,20230118,37,-3867.0,-436358081.0
1033738,20230118,52,-4159.0,-4693078.0
1033739,20230118,52,-43774.0,-493952382.0
1033740,20230118,248,-35941.0,-405563635.0
1033741,20230118,328,-2501538.0,-2822773002.0
1033742,20230118,328,-37062.0,-418213167.0
1033743,20230118,353,-7162.0,-80817082.0
1033744,20230118,353,-2838.0,-32024418.0
1034514,20230120,223,-44441.0,-50147891.0
1034515,20230120,360,-12479.0,-140814908.0
1034516,20230120,444,-5381.0,-60720011.0
1034517,20230120,459,-17464.0,-197066396.0
1034892,20230124,410,-5256.0,-59309492.0
1142711,20230421,397,-548.0,-61837142.0
1142712,20230421,400,-27798.0,-313676802.0
1142713,20230421,404,-72507.0,-818179864.0
1142714,20230421,408,-9045.0,-1020651368.0
1142715,20230421,408,-1781.0,-20097071.0
1142716,20230421,410,-5.0,-5642075.0
1142717,20230421,410,-5287.0,-59659301.0
1142718,20230421,410,-5287.0,-59659301.0
1142719,20230421,412,-5.0,-5642075.0
1142720,20230421,412,-10542.0,-118957509.0
1142721,20230421,412,-42269.0,-476969736.0
1142722,20230421,412,-8702.0,-98194673.0
1142723,20230421,412,-124.0,-13992346.0
1142724,20230421,418,-21196.0,-239178843.0
1142725,20230421,420,-1455773.0,-164271609.0
1142726,20230421,420,-21775.0,-245712366.0
1142727,20230421,424,-5.0,-5642075.0
1142728,20230421,424,-7456.0,-84134622.0
1142729,20230421,424,-7456.0,-84134622.0
1142730,20230421,432,-7509.0,-84732682.0
1142731,20230421,435,-5.0,-5642075.0
1142732,20230421,435,-2902.0,-32746603.0
1142733,20230421,435,-1275.0,-14387291.0
1142734,20230421,437,-4733.0,-53407882.0
1142735,20230421,438,-10488.0,-118348165.0
1142736,20230421,444,-5402.0,-60956978.0
1142737,20230421,448,-24956.0,-281607247.0
1142738,20230421,449,-5.0,-5642075.0
1142739,20230421,449,-2157.0,-24339912.0
1247489,20230503,351,-1197256.0,-1351001629.0
1247490,20230503,351,-13063.0,-147404851.0
1247491,20230503,355,-7222.0,-81494131.0
1247492,20230503,358,-5.0,-5642075.0
1247493,20230503,358,-5.0,-5642075.0
1247494,20230503,358,-5.0,-5642075.0
1247495,20230503,358,-57266.0,-646198134.0
1247496,20230503,358,-56864.0,-641661906.0
1247497,20230503,365,-5.0,-5642075.0
1247498,20230503,365,-6529.0,-73674215.0
1247499,20230503,368,-4625.0,-52189194.0
1247500,20230503,370,-9941.0,-112175735.0
1247501,20230503,372,-2659.0,-30004555.0
1247502,20230503,373,-10698.0,-120717837.0
1247503,20230503,377,-64728.0,-730400461.0
1247504,20230503,378,-4967.0,-56048373.0
1247505,20230503,382,-4189.0,-47269304.0
1247506,20230503,383,-5.0,-5642075.0
1247507,20230503,383,-5.0,-5642075.0
1247508,20230503,383,-5.0,-5642075.0
1247509,20230503,383,-7865.0,-8874984.0
1247510,20230503,383,-7799.0,-88005086.0
1247511,20230503,384,-1365.0,-154028648.0
1247512,20230503,386,-5.0,-5642075.0
1247513,20230503,386,-61487.0,-693828531.0
1247514,20230503,386,-12342.0,-139268979.0
1247515,20230503,387,-24486.0,-276303697.0
1247516,20230503,389,-5.0,-5642075.0
1247517,20230503,389,-5.0,-5642075.0
1247518,20230503,389,-9354.0,-105551939.0
1247519,20230503,389,-22953.0,-259005095.0
1247520,20230503,389,-18625.0,-210167294.0
1247521,20230503,389,-4191.0,-47291873.0
1247522,20230503,393,-3171.0,-357820397.0
1247523,20230503,394,-15067.0,-170018288.0
1247524,20230503,396,-21015.0,-237136412.0
1247525,20230503,404,-71882.0,-81112727.0
1247526,20230503,412,-43172.0,-487159324.0
1247527,20230503,417,-5.0,-5642075.0
1247528,20230503,417,-5.0,-5642075.0
1247529,20230503,417,-5.0,-5642075.0
1247530,20230503,417,-12801.0,-144448404.0
1247531,20230503,417,-12801.0,-144448404.0
1247532,20230503,417,-12764.0,-144030891.0
1247533,20230503,422,-5.0,-5642075.0
1247534,20230503,422,-35145.0,-396581452.0
1247535,20230503,422,-35039.0,-395385332.0
1247536,20230503,424,-6364.0,-71812331.0
1247537,20230503,428,-5.0,-5642075.0
1247538,20230503,428,-5.0,-5642075.0
1247539,20230503,428,-5.0,-5642075.0
1247540,20230503,428,-40977.0,-462390615.0
1247541,20230503,428,-40335.0,-45514619.0
1247542,20230503,432,-6702.0,-75626373.0
1247543,20230503,435,-2899.0,-32712751.0
1247544,20230503,444,-108.0,-12186882.0
1247545,20230503,444,-5398.0,-60911842.0
1247546,20230503,448,-24883.0,-280783504.0
1071591,20230324,484,-4894.0,-552246301.0
1285381,20230505,6,-3071956.0,-346644123.0
1285382,20230505,6,-46751.0,-527545297.0
1285383,20230505,19,-7477.0,-8437159.0
1285384,20230505,25,-6709.0,-75705362.0
1285385,20230505,25,-70619.0,-796875389.0
1285386,20230505,36,-5.0,-5642075.0
1285387,20230505,36,-43643.0,-492474158.0
1285388,20230505,36,-32601.0,-367874574.0
1285389,20230505,36,-10911.0,-123121361.0
1285390,20230505,44,-5.0,-5642075.0
1285391,20230505,44,-1224.0,-138117996.0
1285392,20230505,44,-30381.0,-342823761.0
1285393,20230505,44,-24745.0,-279226292.0
1285394,20230505,44,-5576.0,-6292042.0
1285395,20230505,49,-26578.0,-299910139.0
1285396,20230505,54,-5.0,-5642075.0
1285397,20230505,54,-5.0,-5642075.0
1285398,20230505,54,-5.0,-5642075.0
1285399,20230505,54,-417.0,-4705491.0
1285400,20230505,54,-417.0,-4705491.0
1285401,20230505,54,-408.0,-4603933.0
1285402,20230505,54,-83.0,-936584.0
1285403,20230505,54,-2719.0,-30681604.0
1285404,20230505,54,-4394.0,-49582555.0
1285405,20230505,54,-4122.0,-46513266.0
1285406,20230505,54,-2086.0,-23538737.0
1285407,20230505,54,-171.0,-192959.0
1285408,20230505,64,-4165.0,-46998485.0
1285409,20230505,64,-42073.0,-474758043.0
1285410,20230505,65,-2583.0,-29146959.0
1285411,20230505,65,-20352.0,-229655021.0
1285412,20230505,98,-18041.0,-20357735.0
1285413,20230505,118,-3533.0,-39866902.0
1285414,20230505,145,-576.0,-649967.0
1285415,20230505,145,-5814.0,-65606048.0
1285416,20230505,152,-22192.0,-250417857.0
1285417,20230505,162,-5.0,-5642075.0
1285418,20230505,162,-47694.0,-53818625.0
1285419,20230505,162,-47694.0,-53818625.0
1285420,20230505,166,-5.0,-5642075.0
1285421,20230505,166,-5.0,-5642075.0
1285422,20230505,166,-35193.0,-397123091.0
1285423,20230505,166,-34825.0,-392970524.0
1285424,20230505,205,-7771.0,-8768913.0
1285425,20230505,205,-38855.0,-438445648.0
1285426,20230505,206,-5.0,-5642075.0
1285427,20230505,206,-26284.0,-296592599.0
1285428,20230505,217,-5143.0,-58034383.0
1285429,20230505,220,-2724.0,-307380246.0
1285430,20230505,229,-3888.0,-43872775.0
1285431,20230505,263,-39841.0,-44957182.0
1285432,20230505,272,-199371.0,-224973227.0
1285433,20230505,272,-66198.0,-746988162.0
1285434,20230505,272,-63593.0,-717592951.0
1285435,20230505,272,-61219.0,-690804379.0
1285436,20230505,308,-1538.0,-17355023.0
1285437,20230505,308,-7688.0,-86752545.0
1285438,20230505,342,-52173.0,-588727958.0
1285439,20230505,344,-25279.0,-285252028.0
1285440,20230505,346,-28436.0,-320876089.0
1285441,20230505,357,-7231.0,-81595689.0
1285442,20230505,360,-5.0,-5642075.0
1285443,20230505,360,-10909.0,-123098792.0
1285444,20230505,365,-6529.0,-73674215.0
1285445,20230505,368,-4625.0,-52189194.0
1285446,20230505,375,-1153.0,-13010625.0
1285447,20230505,375,-2818.0,-31798735.0
1285448,20230505,375,-8.0,-902732.0
1285449,20230505,375,-12137.0,-136955729.0
1285450,20230505,382,-8.0,-902732.0
1285451,20230505,382,-4989.0,-56296624.0
1285452,20230505,383,-7748.0,-87429594.0
1285453,20230505,387,-19589.0,-221045214.0
1285454,20230505,394,-15067.0,-170018288.0
1285455,20230505,404,-71882.0,-81112727.0
1285456,20230505,407,-5.0,-5642075.0
1285457,20230505,407,-47557.0,-536640322.0
1285458,20230505,410,-19318.0,-2179872097.0
1285459,20230505,410,-5169.0,-58327771.0
1285460,20230505,413,-1052.0,-11870926.0
1285461,20230505,415,-5738.0,-64748453.0
1285462,20230505,417,-12697.0,-143274853.0
1285463,20230505,418,-4227.0,-47698102.0
1285464,20230505,418,-21136.0,-238501794.0
1285465,20230505,424,-8.0,-902732.0
1285466,20230505,424,-6888.0,-77725225.0
1285467,20230505,428,-31814.0,-358993948.0
1285468,20230505,433,-5.0,-5642075.0
1285469,20230505,433,-1109.0,-125141224.0
1285470,20230505,433,-11069.0,-124904256.0
1285471,20230505,435,-2899.0,-32712751.0
1285472,20230505,440,-1569.0,-17704831.0
1285473,20230505,440,-8.0,-902732.0
1285474,20230505,440,-7045.0,-79496837.0
1285475,20230505,442,-5.0,-5642075.0
1285476,20230505,442,-16516.0,-186369021.0
1285477,20230505,452,-1056749.0,-1192451423.0
1285478,20230505,452,-37453.0,-42262527.0
1285479,20230505,463,-5.0,-5642075.0
1285480,20230505,463,-5.0,-5642075.0
1285481,20230505,463,-5.0,-5642075.0
1285482,20230505,463,-5.0,-5642075.0
1285483,20230505,463,-22347.0,-2521669.0
1285484,20230505,463,-36594.0,-412932185.0
1285485,20230505,463,-29675.0,-334857151.0
1285486,20230505,463,-22709.0,-256251762.0
1285487,20230505,463,-13838.0,-156150068.0
1285488,20230505,463,-6919.0,-78075034.0
1285489,20230505,465,-46225.0,-521609834.0
1285490,20230505,468,-14329.0,-161690585.0
1285491,20230505,488,-927.0,-10460407.0
1285492,20230505,488,-4635.0,-52302035.0
1285493,20230505,490,-228.0,-25727862.0
1285494,20230505,490,-23999.0,-270808316.0
1285495,20230505,494,-5.0,-5642075.0
1142740,20230421,449,-512.0,-5777485.0
1142741,20230421,452,-37489.0,-423031499.0
1142742,20230421,454,-30203.0,-340815182.0
1142743,20230421,457,-13879.0,-156612718.0
1142744,20230421,457,-69397.0,-783086158.0
1142745,20230421,461,-2415.0,-27251222.0
1142746,20230421,463,-36594.0,-412932185.0
1142747,20230421,474,-5.0,-5642075.0
1142748,20230421,474,-12561.0,-141740208.0
1142749,20230421,474,-12561.0,-141740208.0
1142750,20230421,478,-5134.0,-57932826.0
1142751,20230421,480,-40609.0,-458238047.0
1142752,20230421,496,-5.0,-5642075.0
1142753,20230421,496,-2216.0,-250056764.0
1142754,20230421,496,-22159.0,-25004548.0
1295402,20230125,52,-15000.0,-16926225.0
1295403,20230125,54,-432.0,-4874753.0
1295404,20230125,54,-1002.0,-113067183.0
1295405,20230125,54,-4548.0,-51320314.0
1295406,20230125,141,-5.0,-5642075.0
1295407,20230125,141,-30274.0,-341616357.0
1295408,20230125,141,-1226.0,-13834368.0
1295409,20230125,372,-24087.0,-271801321.0
1398440,20230103,5,-5499.0,-61329797.0
1398441,20230103,5,-5.0,-557645.0
1398442,20230103,5,-56501.0,-630150003.0
1398443,20230103,9,-42543.0,-474477825.0
1398444,20230103,36,-52725.0,-588036653.0
1398445,20230103,42,-3378.0,-37674496.0
1398446,20230103,42,-4.0,-44612.0
1398447,20230103,42,-34118.0,-380514642.0
1398448,20230103,74,-22.0,-245364.0
1398449,20230103,74,-29978.0,-334341636.0
1398450,20230103,86,-2627.0,-29298668.0
1398451,20230103,86,-26531.0,-29589759.0
