productName,_score,supplierID,quantity,shipCity,categoryName,customerName,supplierName,shipCountry,productID,sales_amount,employeeName,shipperName,unitPrice,orderDate,customer_segment,orderID,categoryID,customerID,discount,employeeID
Gorgonzola Telino,142.5,14,15,Cunewalde,Dairy Products,QUICK-Stop,Formaggi Fortini s.r.l.,Germany,31,142.5,Janet Leverling,Federal Shipping,10.00,1996-08-05 00:00:00.000,High Value,10273,4,QUICK,0.05,3
Geitost,40.0,15,20,Cunewalde,Dairy Products,QUICK-Stop,Norske Meierier,Germany,33,40.0,Janet Leverling,Federal Shipping,2.00,1996-08-05 00:00:00.000,High Value,10273,4,QUICK,0,3
Boston Crab Meat,837.9,19,60,Cunewalde,Seafood,QUICK-Stop,New England Seafood Cannery,Germany,40,837.9,Janet Leverling,Federal Shipping,14.70,1996-08-05 00:00:00.000,High Value,10273,8,QUICK,0.05,3
Lakkalikööri,451.43999999999994,23,33,Cunewalde,Beverages,QUICK-Stop,Karkki Oy,Germany,76,451.43999999999994,Janet Leverling,Federal Shipping,14.40,1996-08-05 00:00:00.000,High Value,10273,1,QUICK,0.05,3
Flotemysost,344.0,15,20,Reims,Dairy Products,Vins et alcools Chevalier,Norske Meierier,France,71,344.0,Michael Suyama,Speedy Express,17.20,1996-08-06 00:00:00.000,Low Value,10274,4,VINET,0,6
Mozzarella di Giovanni,194.6,14,7,Reims,Dairy Products,Vins et alcools Chevalier,Formaggi Fortini s.r.l.,France,72,194.6,Michael Suyama,Speedy Express,27.80,1996-08-06 00:00:00.000,Low Value,10274,4,VINET,0,6
Guaraná Fantástica,41.04,10,12,Bergamo,Beverages,Magazzini Alimentari Riuniti,Refrescos Americanas LTDA,Italy,24,41.04,Nancy Davolio,Speedy Express,3.60,1996-08-07 00:00:00.000,Medium Value,10275,1,MAGAA,0.05,1
Raclette Courdavault,250.79999999999998,28,6,Bergamo,Dairy Products,Magazzini Alimentari Riuniti,Gai pâturage,Italy,59,250.79999999999998,Nancy Davolio,Speedy Express,44.00,1996-08-07 00:00:00.000,Medium Value,10275,4,MAGAA,0.05,1
Ikura,372.0,4,15,México D.F.,Seafood,Tortuga Restaurante,Tokyo Traders,Mexico,10,372.0,Laura Callahan,Federal Shipping,24.80,1996-08-08 00:00:00.000,Medium Value,10276,8,TORTU,0,8
Konbu,48.0,6,10,México D.F.,Seafood,Tortuga Restaurante,Mayumi's,Mexico,13,48.0,Laura Callahan,Federal Shipping,4.80,1996-08-08 00:00:00.000,Medium Value,10276,8,TORTU,0,8
Rössle Sauerkraut,728.0,12,20,Leipzig,Produce,Morgenstern Gesundkost,Plutzer Lebensmittelgroßmärkte AG,Germany,28,728.0,Andrew Fuller,Federal Shipping,36.40,1996-08-09 00:00:00.000,Low Value,10277,7,MORGK,0,2
Tarte au sucre,472.79999999999995,29,12,Leipzig,Confections,Morgenstern Gesundkost,Forêts d'érables,Germany,62,472.79999999999995,Andrew Fuller,Federal Shipping,39.40,1996-08-09 00:00:00.000,Low Value,10277,3,MORGK,0,2
Gula Malacca,248.0,20,16,Luleå,Condiments,Berglunds snabbköp,Leka Trading,Sweden,44,248.0,Laura Callahan,United Package,15.50,1996-08-12 00:00:00.000,High Value,10278,2,BERGS,0,8
Raclette Courdavault,660.0,28,15,Luleå,Dairy Products,Berglunds snabbköp,Gai pâturage,Sweden,59,660.0,Laura Callahan,United Package,44.00,1996-08-12 00:00:00.000,High Value,10278,4,BERGS,0,8
Vegie-spread,280.8,7,8,Luleå,Condiments,Berglunds snabbköp,Pavlova Ltd.,Sweden,63,280.8,Laura Callahan,United Package,35.10,1996-08-12 00:00:00.000,High Value,10278,2,BERGS,0,8
Röd Kaviar,300.0,17,25,Luleå,Seafood,Berglunds snabbköp,Svensk Sjöföda AB,Sweden,73,300.0,Laura Callahan,United Package,12.00,1996-08-12 00:00:00.000,High Value,10278,8,BERGS,0,8
Alice Mutton,351.0,7,15,Frankfurt a.M.,Meat/Poultry,Lehmanns Marktstand,Pavlova Ltd.,Germany,17,351.0,Laura Callahan,United Package,31.20,1996-08-13 00:00:00.000,High Value,10279,6,LEHMS,0.25,8
Guaraná Fantástica,43.2,10,12,Luleå,Beverages,Berglunds snabbköp,Refrescos Americanas LTDA,Sweden,24,43.2,Andrew Fuller,Speedy Express,3.60,1996-08-14 00:00:00.000,High Value,10280,1,BERGS,0,2
Pâté chinois,384.0,25,20,Luleå,Meat/Poultry,Berglunds snabbköp,Ma Maison,Sweden,55,384.0,Andrew Fuller,Speedy Express,19.20,1996-08-14 00:00:00.000,High Value,10280,6,BERGS,0,2
Rhönbräu Klosterbier,186.0,12,30,Luleå,Beverages,Berglunds snabbköp,Plutzer Lebensmittelgroßmärkte AG,Sweden,75,186.0,Andrew Fuller,Speedy Express,6.20,1996-08-14 00:00:00.000,High Value,10280,1,BERGS,0,2
Teatime Chocolate Biscuits,7.3,8,1,Madrid,Confections,Romero y tomillo,Specialty Biscuits Ltd.,Spain,19,7.3,Margaret Peacock,Speedy Express,7.30,1996-08-14 00:00:00.000,Low Value,10281,3,ROMEY,0,4
Guaraná Fantástica,21.6,10,6,Madrid,Beverages,Romero y tomillo,Refrescos Americanas LTDA,Spain,24,21.6,Margaret Peacock,Speedy Express,3.60,1996-08-14 00:00:00.000,Low Value,10281,1,ROMEY,0,4
Steeleye Stout,57.6,16,4,Madrid,Beverages,Romero y tomillo,Bigfoot Breweries,Spain,35,57.6,Margaret Peacock,Speedy Express,14.40,1996-08-14 00:00:00.000,Low Value,10281,1,ROMEY,0,4
Nord-Ost Matjeshering,124.19999999999999,13,6,Madrid,Seafood,Romero y tomillo,Nord-Ost-Fisch Handelsgesellschaft mbH,Spain,30,124.19999999999999,Margaret Peacock,Speedy Express,20.70,1996-08-15 00:00:00.000,Low Value,10282,8,ROMEY,0,4
Ravioli Angelo,31.2,26,2,Madrid,Grains/Cereals,Romero y tomillo,Pasta Buttini s.r.l.,Spain,57,31.2,Margaret Peacock,Speedy Express,15.60,1996-08-15 00:00:00.000,Low Value,10282,5,ROMEY,0,4
Genen Shouyu,248.0,6,20,Barquisimeto,Condiments,LILA-Supermercado,Mayumi's,Venezuela,15,248.0,Janet Leverling,Federal Shipping,12.40,1996-08-16 00:00:00.000,Medium Value,10283,2,LILAS,0,3
Teatime Chocolate Biscuits,131.4,8,18,Barquisimeto,Confections,LILA-Supermercado,Specialty Biscuits Ltd.,Venezuela,19,131.4,Janet Leverling,Federal Shipping,7.30,1996-08-16 00:00:00.000,Medium Value,10283,3,LILAS,0,3
Camembert Pierrot,952.0,28,35,Barquisimeto,Dairy Products,LILA-Supermercado,Gai pâturage,Venezuela,60,952.0,Janet Leverling,Federal Shipping,27.20,1996-08-16 00:00:00.000,Medium Value,10283,4,LILAS,0,3
Mozzarella di Giovanni,83.4,14,3,Barquisimeto,Dairy Products,LILA-Supermercado,Formaggi Fortini s.r.l.,Venezuela,72,83.4,Janet Leverling,Federal Shipping,27.80,1996-08-16 00:00:00.000,Medium Value,10283,4,LILAS,0,3
Schoggi Schokolade,394.875,11,15,Frankfurt a.M.,Confections,Lehmanns Marktstand,Heli Süßwaren GmbH & Co. KG,Germany,27,394.875,Margaret Peacock,Speedy Express,35.10,1996-08-19 00:00:00.000,High Value,10284,3,LEHMS,0.25,4
Gula Malacca,325.5,20,21,Frankfurt a.M.,Condiments,Lehmanns Marktstand,Leka Trading,Germany,44,325.5,Margaret Peacock,Speedy Express,15.50,1996-08-19 00:00:00.000,High Value,10284,2,LEHMS,0,4
Camembert Pierrot,408.0,28,20,Frankfurt a.M.,Dairy Products,Lehmanns Marktstand,Gai pâturage,Germany,60,408.0,Margaret Peacock,Speedy Express,27.20,1996-08-19 00:00:00.000,High Value,10284,4,LEHMS,0.25,4
Laughing Lumberjack Lager,42.0,16,5,Frankfurt a.M.,Beverages,Lehmanns Marktstand,Bigfoot Breweries,Germany,67,42.0,Margaret Peacock,Speedy Express,11.20,1996-08-19 00:00:00.000,High Value,10284,1,LEHMS,0.25,4
Chai,518.4,1,45,Cunewalde,Beverages,QUICK-Stop,Exotic Liquids,Germany,1,518.4,Nancy Davolio,United Package,14.40,1996-08-20 00:00:00.000,High Value,10285,1,QUICK,0.2,1
Boston Crab Meat,470.40000000000003,19,40,Cunewalde,Seafood,QUICK-Stop,New England Seafood Cannery,Germany,40,470.40000000000003,Nancy Davolio,United Package,14.70,1996-08-20 00:00:00.000,High Value,10285,8,QUICK,0.2,1
Perth Pasties,754.56,24,36,Cunewalde,Meat/Poultry,QUICK-Stop,G'day Mate,Germany,53,754.56,Nancy Davolio,United Package,26.20,1996-08-20 00:00:00.000,High Value,10285,6,QUICK,0.2,1
Steeleye Stout,1440.0,16,100,Cunewalde,Beverages,QUICK-Stop,Bigfoot Breweries,Germany,35,1440.0,Laura Callahan,Federal Shipping,14.40,1996-08-21 00:00:00.000,High Value,10286,1,QUICK,0,8
Tarte au sucre,1576.0,29,40,Cunewalde,Confections,QUICK-Stop,Forêts d'érables,Germany,62,1576.0,Laura Callahan,Federal Shipping,39.40,1996-08-21 00:00:00.000,High Value,10286,3,QUICK,0,8
Pavlova,472.59999999999997,7,40,Rio de Janeiro,Confections,Ricardo Adocicados,Pavlova Ltd.,Brazil,16,472.59999999999997,Laura Callahan,Federal Shipping,13.90,1996-08-22 00:00:00.000,Medium Value,10287,3,RICAR,0.15,8
Sasquatch Ale,224.0,16,20,Rio de Janeiro,Beverages,Ricardo Adocicados,Bigfoot Breweries,Brazil,34,224.0,Laura Callahan,Federal Shipping,11.20,1996-08-22 00:00:00.000,Medium Value,10287,1,RICAR,0,8
Spegesild,122.39999999999999,21,15,Rio de Janeiro,Seafood,Ricardo Adocicados,Lyngbysild,Brazil,46,122.39999999999999,Laura Callahan,Federal Shipping,9.60,1996-08-22 00:00:00.000,Medium Value,10287,8,RICAR,0.15,8
Tourtière,53.1,25,10,Reggio Emilia,Meat/Poultry,Reggiani Caseifici,Ma Maison,Italy,54,53.1,Margaret Peacock,Speedy Express,5.90,1996-08-23 00:00:00.000,Medium Value,10288,6,REGGC,0.1,4
Scottish Longbreads,27.0,8,3,Reggio Emilia,Confections,Reggiani Caseifici,Specialty Biscuits Ltd.,Italy,68,27.0,Margaret Peacock,Speedy Express,10.00,1996-08-23 00:00:00.000,Medium Value,10288,3,REGGC,0.1,4
Aniseed Syrup,240.0,1,30,London,Condiments,B's Beverages,Exotic Liquids,UK,3,240.0,Robert King,Federal Shipping,8.00,1996-08-26 00:00:00.000,Low Value,10289,2,BSBEV,0,7
Wimmers gute Semmelknödel,239.4,12,9,London,Grains/Cereals,B's Beverages,Plutzer Lebensmittelgroßmärkte AG,UK,64,239.4,Robert King,Federal Shipping,26.60,1996-08-26 00:00:00.000,Low Value,10289,5,BSBEV,0,7
Chef Anton's Gumbo Mix,340.0,2,20,Sao Paulo,Condiments,Comércio Mineiro,New Orleans Cajun Delights,Brazil,5,340.0,Laura Callahan,Speedy Express,17.00,1996-08-27 00:00:00.000,Low Value,10290,2,COMMI,0,8
Thüringer Rostbratwurst,1485.0,12,15,Sao Paulo,Meat/Poultry,Comércio Mineiro,Plutzer Lebensmittelgroßmärkte AG,Brazil,29,1485.0,Laura Callahan,Speedy Express,99.00,1996-08-27 00:00:00.000,Low Value,10290,6,COMMI,0,8
Maxilaku,240.0,23,15,Sao Paulo,Confections,Comércio Mineiro,Karkki Oy,Brazil,49,240.0,Laura Callahan,Speedy Express,16.00,1996-08-27 00:00:00.000,Low Value,10290,3,COMMI,0,8
Original Frankfurter grüne Soße,104.0,12,10,Sao Paulo,Condiments,Comércio Mineiro,Plutzer Lebensmittelgroßmärkte AG,Brazil,77,104.0,Laura Callahan,Speedy Express,10.40,1996-08-27 00:00:00.000,Low Value,10290,2,COMMI,0,8
Konbu,86.4,6,20,Rio de Janeiro,Seafood,Que Delícia,Mayumi's,Brazil,13,86.4,Michael Suyama,United Package,4.80,1996-08-27 00:00:00.000,Low Value,10291,8,QUEDE,0.1,6
